file,k,fold,train_acc,test_acc
02_decision_tree.py,1,1,0.6059022440823855,0.6217712177121771
02_decision_tree.py,1,2,0.617891177374731,0.5857933579335793
02_decision_tree.py,1,3,0.606209652628343,0.6208487084870848
02_decision_tree.py,1,4,0.6092837380879188,0.6116236162361623
02_decision_tree.py,31,1,0.6464801721487857,0.6328413284132841
02_decision_tree.py,31,2,0.6922840454964648,0.6143911439114391
02_decision_tree.py,31,3,0.6692284045496465,0.6420664206642066
02_decision_tree.py,31,4,0.6378727328619735,0.6420664206642066
04_another_classifier.py,11,1,0.6138948662772825,0.6263837638376384
04_another_classifier.py,11,2,0.6344912388564402,0.5931734317343174
04_another_classifier.py,11,3,0.613587457731325,0.6273062730627307
04_another_classifier.py,11,4,0.6154319090070703,0.6208487084870848
04_another_classifier.py,16,1,0.6311097448509069,0.6309963099630996
04_another_classifier.py,16,2,0.6378727328619735,0.5922509225092251
04_another_classifier.py,16,3,0.6329541961266523,0.6273062730627307
04_another_classifier.py,16,4,0.6304949277589917,0.6337638376383764
04_another_classifier.py,6,1,0.6123578235474946,0.6273062730627307
04_another_classifier.py,6,2,0.6246541653857978,0.5876383763837638
04_another_classifier.py,6,3,0.6132800491853674,0.6273062730627307
04_another_classifier.py,6,4,0.6145096833691976,0.6208487084870848
02_decision_tree.py,16,1,0.6311097448509069,0.6309963099630996
02_decision_tree.py,16,2,0.6378727328619735,0.5922509225092251
02_decision_tree.py,16,3,0.6329541961266523,0.6273062730627307
02_decision_tree.py,16,4,0.6304949277589917,0.6337638376383764
02_decision_tree.py,21,1,0.6363356901321857,0.6319188191881919
02_decision_tree.py,21,2,0.6415616354134644,0.5940959409594095
02_decision_tree.py,21,3,0.6381801414079311,0.6263837638376384
02_decision_tree.py,21,4,0.6314171533968644,0.6328413284132841
03_sequential_covering.py,1,1,0.6059022440823855,0.6217712177121771
03_sequential_covering.py,1,2,0.617891177374731,0.5857933579335793
03_sequential_covering.py,1,3,0.606209652628343,0.6208487084870848
03_sequential_covering.py,1,4,0.6092837380879188,0.6116236162361623
04_another_classifier.py,26,1,0.6394097755917615,0.6300738007380073
04_another_classifier.py,26,2,0.6470949892407009,0.5885608856088561
04_another_classifier.py,26,3,0.6406394097755918,0.6319188191881919
04_another_classifier.py,26,4,0.6354134644943129,0.6383763837638377
02_decision_tree.py,11,1,0.6138948662772825,0.6236162361623616
02_decision_tree.py,11,2,0.6344912388564402,0.5931734317343174
02_decision_tree.py,11,3,0.613587457731325,0.6273062730627307
02_decision_tree.py,11,4,0.6154319090070703,0.6208487084870848
02_decision_tree.py,6,1,0.6123578235474946,0.6245387453874539
02_decision_tree.py,6,2,0.6246541653857978,0.5876383763837638
02_decision_tree.py,6,3,0.6132800491853674,0.6273062730627307
02_decision_tree.py,6,4,0.6145096833691976,0.6208487084870848
02_decision_tree.py,26,1,0.6394097755917615,0.6319188191881919
02_decision_tree.py,26,2,0.6470949892407009,0.5885608856088561
02_decision_tree.py,26,3,0.6406394097755918,0.6328413284132841
02_decision_tree.py,26,4,0.6354134644943129,0.6383763837638377
04_another_classifier.py,1,1,0.6059022440823855,0.6217712177121771
04_another_classifier.py,1,2,0.617891177374731,0.5857933579335793
04_another_classifier.py,1,3,0.606209652628343,0.6208487084870848
04_another_classifier.py,1,4,0.6092837380879188,0.6116236162361623
04_another_classifier.py,21,1,0.6363356901321857,0.6291512915129152
04_another_classifier.py,21,2,0.6415616354134644,0.5894833948339483
04_another_classifier.py,21,3,0.6381801414079311,0.6263837638376384
04_another_classifier.py,21,4,0.6314171533968644,0.6300738007380073
03_sequential_covering.py,6,1,0.6212726713802643,0.6346863468634686
03_sequential_covering.py,6,2,0.6261912081155856,0.6097785977859779
03_sequential_covering.py,6,3,0.6286504764832462,0.6023985239852399
03_sequential_covering.py,6,4,0.6142022748232401,0.6559040590405905
03_sequential_covering.py,11,1,0.6212726713802643,0.6346863468634686
03_sequential_covering.py,11,2,0.6261912081155856,0.6097785977859779
03_sequential_covering.py,11,3,0.6286504764832462,0.6023985239852399
03_sequential_covering.py,11,4,0.6142022748232401,0.6559040590405905
